,institute_name_scrapper,course_name,duration,Intakes Dates,status,Link of the Program,inst_currency
0,durham college,9-1-1 Emergency and Call Centre Communications,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/9-1-1-emergency-and-call-centre-communications,Canadian dollar(Can$)
1,durham college,Academic Upgrading,cademic Upgrading | Du,classesin SeptemberDiscover D,,https://durhamcollege.ca/programs/academic-upgrading-college-preparation,Canadian dollar(Can$)
2,durham college,Accounting – Business – Transfer to Ontario Tech University Bachelor of Commerce (Hons),Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/accounting-business-transfer-to-ontario-tech-university-bachelor-of-commerce-hons,Canadian dollar(Can$)
3,durham college,Addictions and Mental Health (graduate certificate),Three consecuti,"e

						September 2022 
View",,https://durhamcollege.ca/programs/addictions-and-mental-health,Canadian dollar(Can$)
4,durham college,Advanced Law Enforcement and Investigations (graduate certificate),Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/advanced-law-enforcement-and-investigations,Canadian dollar(Can$)
5,durham college,Advertising and Promotion,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/advertising-and-promotion,Canadian dollar(Can$)
6,durham college,Advertising – Digital Media Management (graduate certificate),Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/advertising-digital-media-management,Canadian dollar(Can$)
7,durham college,Animal Care,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/animal-care,Canadian dollar(Can$)
8,durham college,Animation – Digital Production,Six semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/animation-digital,Canadian dollar(Can$)
9,durham college,Architectural Technology,Six semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/architectural-technology,Canadian dollar(Can$)
10,durham college,"Artificial Intelligence Analysis, Design and Implementation (graduate certificate)",Two semesters (,"e

						September 2022 
View",,https://durhamcollege.ca/programs/artificial-intelligence-analysis-design-and-implementation-graduate-certificate,Canadian dollar(Can$)
11,durham college,"Artificial Intelligence Analysis, Design and Implementation (graduate certificate – weekend delivery)",Two semesters (,"e

						January 2023 
View al",,https://durhamcollege.ca/programs/artificial-intelligence-analysis-design-and-implementation-graduate-certificate-weekend-delivery,Canadian dollar(Can$)
12,durham college,Artificial Intelligence – Honours Bachelor – NEW,Eight semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/artificial-intelligence-honours-bachelor,Canadian dollar(Can$)
13,durham college,Autism and Behavioural Sciences (graduate certificate),Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/autism-and-behavioural-sciences-graduate-certificate,Canadian dollar(Can$)
14,durham college,Automotive Technician – Service and Management (Motive Power Technician) (Co-op option available),Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/automotive-technician-service-and-management-motive-power-technician,Canadian dollar(Can$)
15,durham college,Behavioural Science  – Honours Bachelor,Eight semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/behavioural-science-honours-bachelor,Canadian dollar(Can$)
16,durham college,Behavioural Science Technician – NEW,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/behavioural-science-technician,Canadian dollar(Can$)
17,durham college,Biomedical Engineering Technology,Six semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/biomedical-engineering-technology,Canadian dollar(Can$)
18,durham college,Biotechnology – Advanced,Six semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/biotechnology-advanced,Canadian dollar(Can$)
19,durham college,Biotechnology – Advanced (fast-track),Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/biotechnology-advanced-compressed-fast-track,Canadian dollar(Can$)
20,durham college,Broadcasting – Radio and Contemporary Media,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/broadcasting-radio-and-contemporary-media,Canadian dollar(Can$)
21,durham college,Carpentry – Building Construction Technician (Co-op option available),Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/building-construction-technician,Canadian dollar(Can$)
22,durham college,Accounting – Business,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/business-accounting,Canadian dollar(Can$)
23,durham college,Accounting – Business Administration (Co-op option available),Six semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/business-administration-accounting,Canadian dollar(Can$)
24,durham college,Human Resources – Business Administration (Co-op option available),Six semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/business-administration-human-resources,Canadian dollar(Can$)
25,durham college,Marketing – Business Administration (Co-op option available),Six semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/business-administration-marketing,Canadian dollar(Can$)
26,durham college,Entrepreneurship and Small Business – Business,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/business-entrepreneurship-and-small-business,Canadian dollar(Can$)
27,durham college,Entrepreneurship and Small Business – Business (weekend delivery),Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/business-entrepreneurship-and-small-business-weekend-delivery,Canadian dollar(Can$)
